2024-02-08T09:01:29.853+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@574218f
2024-02-08T09:01:29.853+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@574218f
2024-02-08T09:01:29.853+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte -> org.hibernate.type.BasicTypeReference@735988cf
2024-02-08T09:01:29.853+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte -> org.hibernate.type.BasicTypeReference@735988cf
2024-02-08T09:01:29.853+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@735988cf
2024-02-08T09:01:29.854+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration binary -> org.hibernate.type.BasicTypeReference@2d3eecda
2024-02-08T09:01:29.854+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@2d3eecda
2024-02-08T09:01:29.854+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration [B -> org.hibernate.type.BasicTypeReference@2d3eecda
2024-02-08T09:01:29.854+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@38968752
2024-02-08T09:01:29.854+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@38968752
2024-02-08T09:01:29.854+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration image -> org.hibernate.type.BasicTypeReference@6294e4a6
2024-02-08T09:01:29.854+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration blob -> org.hibernate.type.BasicTypeReference@13662609
2024-02-08T09:01:29.854+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@13662609
2024-02-08T09:01:29.854+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@27a0e6ce
2024-02-08T09:01:29.854+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@2b80497f
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@6ef4297d
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@6ef4297d
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@6ef4297d
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration integer -> org.hibernate.type.BasicTypeReference@4c000cc4
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration int -> org.hibernate.type.BasicTypeReference@4c000cc4
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@4c000cc4
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@6c36051c
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@6c36051c
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@6c36051c
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@45d46254
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@45d46254
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@45d46254
2024-02-08T09:01:29.855+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@a240452
2024-02-08T09:01:29.857+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@a240452
2024-02-08T09:01:29.857+01:00 DEBUG 62659 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@a240452
